,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
178,179,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,2150,2019-12-01
1392,1393,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2201,2100,2019-12-02
1504,1505,Pune,Pune,Wheat,Sharbati,FAQ,3700,4200,4000,2019-12-03
2370,2371,Pune,Pune,Wheat,Sharbati,FAQ,3700,4100,3900,2019-12-04
1384,1385,Pune,Baramati,Wheat,Kalyan,FAQ,1850,2150,2050,2019-12-05
1832,1833,Pune,Indapur(Nimgaon Ketki),Wheat,Maharashtra 2189,FAQ,1661,2400,2051,2019-12-07
785,786,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2151,2050,2019-12-08
3338,3339,Pune,Shirur,Wheat,Other,FAQ,2100,2100,2100,2019-12-09
1476,1477,Pune,Pune,Wheat,Sharbati,FAQ,3700,4150,3950,2019-12-10
2402,2403,Pune,Pune,Wheat,Sharbati,FAQ,3500,4350,3950,2019-12-11
185,186,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1950,2201,2000,2019-12-12
1061,1062,Pune,Pune,Wheat,Sharbati,FAQ,3700,4200,3950,2019-12-13
2689,2690,Pune,Pune,Wheat,Sharbati,FAQ,3700,4200,3950,2019-12-14
629,630,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1950,2301,2100,2019-12-15
2407,2408,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2019-12-16
1101,1102,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2019-12-17
2614,2615,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2019-12-18
1335,1336,Pune,Pune,Wheat,Sharbati,FAQ,3800,4400,4100,2019-12-19
2410,2411,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4100,2019-12-20
2607,2608,Pune,Pune,Wheat,Sharbati,FAQ,3500,4300,3900,2019-12-21
2117,2118,Pune,Shirur,Wheat,Other,FAQ,1900,2000,2000,2019-12-22
152,153,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2100,2512,2200,2019-12-23
3048,3049,Pune,Pune,Wheat,Sharbati,FAQ,3700,4450,4100,2019-12-24
1111,1112,Pune,Pune,Wheat,Sharbati,FAQ,3700,4450,4100,2019-12-25
1008,1009,Pune,Baramati,Wheat,Kalyan,FAQ,2011,2200,2150,2019-12-26
2277,2278,Pune,Shirur,Wheat,Other,FAQ,1850,2100,2000,2019-12-27
3250,3251,Pune,Pune,Wheat,Sharbati,FAQ,3500,4500,4000,2019-12-28
1860,1861,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1950,2300,2100,2019-12-29
1411,1412,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2050,2500,2300,2019-12-30
1134,1135,Pune,Pune,Wheat,Sharbati,FAQ,4000,4300,4150,2019-12-31
360,361,Pune,Pune,Wheat,Sharbati,FAQ,4000,4500,4250,2020-01-01
1165,1166,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2200,2125,2020-01-02
2444,2445,Pune,Pune,Wheat,Sharbati,FAQ,4200,4500,4350,2020-01-04
1871,1872,Pune,Dound,Wheat,Maharashtra 2189,FAQ,2100,2500,2200,2020-01-05
568,569,Pune,Pune,Wheat,Sharbati,FAQ,4000,4500,4250,2020-01-06
739,740,Pune,Shirur,Wheat,Other,FAQ,2200,2200,2200,2020-01-07
2501,2502,Pune,Pune,Wheat,Sharbati,FAQ,4200,4700,4450,2020-01-08
1250,1251,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2150,2651,2500,2020-01-09
1931,1932,Pune,Pune,Wheat,Sharbati,FAQ,3900,4500,4200,2020-01-10
1131,1132,Pune,Pune,Wheat,Sharbati,FAQ,3900,4500,4200,2020-01-11
2765,2766,Pune,Shirur,Wheat,Other,FAQ,2200,2200,2200,2020-01-12
2371,2372,Pune,Pune,Wheat,Sharbati,FAQ,3700,4400,4050,2020-01-13
3065,3066,Pune,Pune,Wheat,Sharbati,FAQ,3900,4600,4250,2020-01-14
1078,1079,Pune,Pune,Wheat,Sharbati,FAQ,4000,4400,4200,2020-01-15
1866,1867,Pune,Dound,Wheat,Maharashtra 2189,FAQ,2000,2501,2200,2020-01-16
2375,2376,Pune,Pune,Wheat,Sharbati,FAQ,3800,4200,4000,2020-01-17
1453,1454,Pune,Indapur(Nimgaon Ketki),Wheat,Maharashtra 2189,FAQ,1800,2251,2000,2020-01-18
2465,2466,Pune,Dound,Wheat,Maharashtra 2189,FAQ,2000,2400,2200,2020-01-19
2901,2902,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2020-01-20
3052,3053,Pune,Pune,Wheat,Sharbati,FAQ,3800,4400,4100,2020-01-21
2210,2211,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1950,2451,2100,2020-01-23
